aspect,dem,faults,landform,landuse,plan,profile,rainaverage,river,slope,twi
1.0,0.0,1.0,0.167,0.625,0.667,0.429,0.614,1.0,0.429,0.286
1.0,0.167,0.143,0.0,0.375,0.5,0.429,0.22,1.0,0.0,0.286
0.286,0.333,0.857,0.0,0.375,1.0,0.143,0.604,0.286,0.857,0.0
0.714,0.0,1.0,0.944,0.875,0.333,0.429,0.66,0.0,0.0,1.0
0.0,0.333,1.0,0.0,0.375,0.833,0.143,0.754,0.143,0.286,0.0
0.0,0.0,0.286,0.389,0.375,0.5,0.429,0.453,1.0,0.143,0.143
0.429,0.833,0.0,0.0,0.375,0.667,0.429,0.476,1.0,1.0,0.0
1.0,0.167,0.286,0.0,0.375,0.167,0.571,0.204,1.0,0.143,0.429
0.429,0.0,0.429,1.0,0.875,0.5,0.429,0.229,0.0,0.0,0.857
0.571,0.0,1.0,0.167,0.625,0.5,0.429,0.457,0.286,0.0,0.286
0.714,0.0,0.429,0.0,0.375,0.667,0.286,0.368,0.429,0.429,0.0
0.286,0.0,1.0,1.0,0.5,0.5,0.429,0.61,1.0,0.0,0.857
0.714,0.167,1.0,0.389,0.0,0.5,0.429,0.07,0.0,0.0,0.714
0.714,0.333,0.429,0.0,0.75,0.0,0.571,0.609,0.286,0.714,0.429
1.0,0.167,0.286,0.0,0.375,0.5,0.429,0.375,0.143,0.714,0.0
0.143,0.5,0.0,0.0,0.625,0.667,0.429,0.603,0.571,0.571,0.0
0.143,0.0,0.429,0.667,0.0,0.5,0.429,0.403,0.429,0.0,0.857
0.286,1.0,0.286,0.0,0.375,0.667,0.429,0.451,0.714,0.714,0.0
1.0,0.333,0.0,0.0,0.75,0.333,0.571,0.446,0.143,0.571,0.143
0.857,0.0,1.0,0.167,0.625,0.333,0.571,0.699,0.143,0.143,0.286
0.286,0.167,0.286,0.0,0.75,0.833,0.0,0.127,0.0,0.714,0.0
0.286,0.667,0.286,0.0,0.375,0.5,0.429,0.204,0.714,0.857,0.286
0.286,0.167,0.429,0.0,0.5,0.5,0.571,0.137,0.286,0.429,0.143
0.429,0.0,1.0,0.0,0.375,0.5,0.429,0.573,0.429,0.571,0.143
0.0,0.167,0.286,0.389,0.625,0.333,0.286,0.732,0.286,0.714,0.0
